Age,Height,Weight,Bmi,BmiClass
47,1.82,99.7,30.099021857263615,Obese Class 1
47,1.75,112.2,36.63673469387755,Obese Class 2
46,1.74,78.99,26.08997225525168,Overweight
46,1.73,74.29,24.82207892011093,Normal Weight
46,1.75,83.69,27.32734693877551,Overweight
46,1.86,70.0,20.23355301190889,Normal Weight
46,1.73,77.0,25.727555214006482,Overweight
46,1.52,36.9,15.971260387811634,Underweight
46,1.74,111.2,36.728762055753734,Obese Class 2
45,1.74,78.98,26.086669309023648,Overweight
45,1.73,74.38,24.85215008854288,Normal Weight
45,1.75,83.58,27.291428571428572,Overweight
45,1.68,140.0,49.60317460317461,Obese Class 3
45,1.84,68.0,20.085066162570886,Normal Weight
45,1.72,78.3,26.467009194159008,Overweight
45,1.53,37.0,15.805886624802426,Underweight
45,1.78,90.7,28.626436056053528,Overweight
45,1.8,116.0,35.80246913580247,Obese Class 2
44,1.74,78.62,25.967763244814375,Overweight
44,1.73,74.12,24.7652778241839,Normal Weight
44,1.75,83.12,27.14122448979592,Overweight
44,1.82,66.0,19.925129815239703,Normal Weight
44,1.71,74.4,25.44372627475121,Overweight
44,1.53,37.2,15.89132384980136,Underweight
44,1.8,96.1,29.66049382716049,Overweight
44,1.79,116.4,36.328454168097124,Obese Class 2
43,1.74,78.61,25.96446029858634,Overweight
43,1.73,74.21,24.795348992615853,Normal Weight
43,1.75,83.01,27.10530612244898,Overweight
43,1.8,64.0,19.753086419753085,Normal Weight
43,1.69,72.2,25.27922691782501,Overweight
43,1.54,37.4,15.769944341372913,Underweight
43,1.78,114.5,36.13811387451079,Obese Class 2
42,1.74,78.6,25.961157352358303,Overweight
42,1.73,74.3,24.825420161047813,Normal Weight
42,1.75,82.9,27.069387755102042,Overweight
42,1.65,90.0,33.057851239669425,Obese Class 1
42,1.78,62.0,19.568236333796236,Normal Weight
42,1.75,76.5,24.979591836734695,Normal Weight
42,1.54,37.5,15.812109967954123,Underweight
42,1.79,93.8,29.274991417246653,Overweight
42,1.75,112.0,36.57142857142857,Obese Class 2
41,1.74,78.59,25.95785440613027,Overweight
41,1.73,74.39,24.85549132947977,Normal Weight
41,1.75,82.79,27.033469387755105,Overweight
41,1.76,60.0,19.369834710743802,Normal Weight
41,1.72,78.6,26.56841535965387,Overweight
41,1.55,37.7,15.691987513007284,Underweight
41,1.73,110.1,36.78706271509238,Obese Class 2
40,1.74,78.58,25.95455145990223,Overweight
40,1.73,74.48,24.885562497911724,Normal Weight
40,1.75,82.68,26.997551020408167,Overweight
40,1.729,74.48,24.914356898162566,Normal Weight
40,1.7,105.0,36.33217993079585,Obese Class 2
40,1.74,58.0,19.157088122605362,Normal Weight
40,1.7,75.0,25.95155709342561,Overweight
40,1.56,38.0,15.61472715318869,Underweight
40,1.68,108.6,38.47789115646259,Obese Class 2
39,1.74,77.42,25.571409697450125,Overweight
39,1.73,73.42,24.531390958602024,Normal Weight
39,1.75,81.42,26.58612244897959,Overweight
39,1.729,73.42,24.559775556701066,Normal Weight
39,1.72,56.0,18.92915089237426,Normal Weight
39,1.66,71.7,26.019741617070697,Overweight
39,1.56,38.3,15.73800131492439,Underweight
39,1.78,90.2,28.468627698522912,Overweight
39,1.74,111.7,36.8939093671555,Obese Class 2
38,1.74,77.41,25.56810675122209,Overweight
38,1.73,73.51,24.56146212703398,Normal Weight
38,1.75,81.31,26.550204081632653,Overweight
38,1.729,73.51,24.589881519655346,Normal Weight
38,1.68,80.0,28.344671201814062,Overweight
38,1.7,54.0,18.68512110726644,Normal Weight
38,1.71,74.8,25.580520502034815,Overweight
38,1.57,38.7,15.70043409468944,Underweight
38,1.77,88.3,28.18474895464266,Overweight
38,1.78,118.9,37.52682742078021,Obese Class 2
37,1.74,77.4,25.564803804994057,Overweight
37,1.73,73.6,24.591533295465933,Normal Weight
37,1.75,81.2,26.514285714285716,Overweight
37,1.729,73.6,24.61998748260962,Normal Weight
37,1.7298,80.4,26.869789441512232,Overweight
37,1.68,52.0,18.42403628117914,Underweight
37,1.67,71.1,25.493922334970776,Overweight
37,1.58,39.1,15.662554077872134,Underweight
37,1.76,113.3,36.57670454545455,Obese Class 2
36,1.74,77.39,25.56150085876602,Overweight
36,1.73,73.69,24.62160446389789,Normal Weight
36,1.75,81.09,26.478367346938775,Overweight
36,1.729,73.69,24.6500934455639,Normal Weight
36,1.7298,80.39,26.866447427900102,Overweight
36,1.66,50.0,18.144868631151112,Underweight
36,1.69,62.0,21.707923392038097,Normal Weight
36,1.68,68.4,24.234693877551027,Normal Weight
36,1.59,39.6,15.663937344250622,Underweight
36,1.75,112.2,36.63673469387755,Obese Class 2
35,1.74,77.38,25.55819791253798,Overweight
35,1.73,73.78,24.651675632329848,Normal Weight
35,1.75,80.98,26.442448979591838,Overweight
35,1.729,73.78,24.68019940851818,Normal Weight
35,1.7298,80.38,26.863105414287972,Overweight
35,1.7,85.0,29.411764705882355,Overweight
35,1.64,48.0,17.846519928613922,Underweight
35,1.71,65.0,22.229061933586404,Normal Weight
35,1.72,67.0,22.647376960519203,Normal Weight
35,1.65,65.2,23.948576675849406,Normal Weight
35,1.6,40.1,15.664062499999998,Underweight
35,1.75,85.6,27.951020408163263,Overweight
35,1.7,98.5,34.083044982698965,Obese Class 1
34,1.74,76.22,25.175056150085876,Overweight
34,1.73,72.72,24.297504093020148,Normal Weight
34,1.75,79.72,26.031020408163265,Overweight
34,1.729,72.72,24.32561806705668,Normal Weight
34,1.7298,79.22,26.47543183528108,Overweight
34,1.62,46.0,17.527815881725342,Underweight
34,1.73,67.0,22.386314277122523,Normal Weight
34,1.72,66.0,22.30935640886966,Normal Weight
34,1.71,66.0,22.571047501795427,Normal Weight
34,1.7,65.0,22.49134948096886,Normal Weight
34,1.73,70.9,23.689398242507266,Normal Weight
34,1.61,40.6,15.66297596543343,Underweight
34,1.77,86.9,27.737878642791024,Overweight
34,1.81,120.9,36.90363542016422,Obese Class 2
33,1.74,76.21,25.17175320385784,Overweight
33,1.73,72.81,24.327575261452104,Normal Weight
33,1.75,79.61,25.995102040816327,Overweight
33,1.729,72.81,24.35572403001096,Normal Weight
33,1.7298,79.21,26.47208982166895,Overweight
33,1.6,44.0,17.187499999999996,Underweight
33,1.69,64.0,22.40817898532965,Normal Weight
33,1.73,66.0,22.052190183434128,Normal Weight
33,1.7,65.0,22.49134948096886,Normal Weight
33,1.77,73.6,23.49261068020045,Normal Weight
33,1.62,41.2,15.698826398414873,Underweight
33,1.76,84.3,27.21461776859504,Overweight
33,1.8,118.1,36.45061728395061,Obese Class 2
32,1.74,76.2,25.168450257629807,Overweight
32,1.73,72.9,24.35764642988406,Normal Weight
32,1.75,79.5,25.959183673469386,Overweight
32,1.729,72.9,24.38582999296524,Normal Weight
32,1.6,120.0,46.87499999999999,Obese Class 3
32,1.58,42.0,16.82422688671687,Underweight
32,1.65,60.0,22.03856749311295,Normal Weight
32,1.68,65.0,23.030045351473927,Normal Weight
32,1.7,65.0,22.49134948096886,Normal Weight
32,1.68,64.0,22.67573696145125,Normal Weight
32,1.65,61.0,22.4058769513315,Normal Weight
32,1.69,67.8,23.738664612583595,Normal Weight
32,1.64,42.2,15.690065437239742,Underweight
32,1.72,81.9,27.683883180097354,Overweight
32,1.77,115.7,36.930639343739024,Obese Class 2
31,1.74,76.19,25.165147311401768,Overweight
31,1.73,72.99,24.387717598316012,Normal Weight
31,1.75,79.39,25.92326530612245,Overweight
31,1.729,72.99,24.415935955919515,Normal Weight
31,1.7298,76.07,25.422697547460636,Overweight
31,1.55,40.0,16.649323621227886,Underweight
31,1.68,62.0,21.9671201814059,Normal Weight
31,1.74,67.0,22.12973972783723,Normal Weight
31,1.71,66.0,22.571047501795427,Normal Weight
31,1.68,63.0,22.321428571428577,Normal Weight
31,1.63,60.0,22.582709172343712,Normal Weight
31,1.7,74.1,25.640138408304498,Overweight
31,1.65,43.0,15.794306703397615,Underweight
31,1.74,82.5,27.24930638129211,Overweight
31,1.85,132.0,38.568298027757486,Obese Class 2
30,1.74,76.18,25.161844365173735,Overweight
30,1.73,73.08,24.417788766747968,Normal Weight
30,1.75,79.28,25.88734693877551,Overweight
30,1.729,73.08,24.446041918873792,Normal Weight
30,1.7298,76.06,25.41935553384851,Overweight
30,1.68,95.0,33.6592970521542,Obese Class 1
30,1.7,155.0,53.63321799307959,Obese Class 3
30,1.8,175.0,54.01234567901234,Obese Class 3
30,2.07,270.0,63.01197227473221,Obese Class 3
30,1.86,70.0,20.23355301190889,Normal Weight
30,1.7,66.0,22.837370242214536,Normal Weight
30,1.72,66.0,22.30935640886966,Normal Weight
30,1.69,64.0,22.40817898532965,Normal Weight
30,1.65,61.0,22.4058769513315,Normal Weight
30,1.865,93.4,26.85277691926198,Overweight
30,1.87,92.3,26.394806828905597,Overweight
30,1.68,68.7,24.340986394557827,Normal Weight
30,1.67,44.5,15.956111728638533,Underweight
30,1.74,79.9,26.39054036200291,Overweight
30,1.72,106.7,36.06679286100595,Obese Class 2
29,1.79,74.72,23.320121094847227,Normal Weight
29,1.78,71.72,22.63603080419139,Normal Weight
29,1.8,77.72,23.98765432098765,Normal Weight
29,1.779,71.72,22.661485995662975,Normal Weight
29,1.7798,74.6,23.55029884824138,Normal Weight
29,1.65,150.0,55.096418732782375,Obese Class 3
29,1.75,170.0,55.51020408163265,Obese Class 3
29,2.05,260.0,61.86793575252826,Obese Class 3
29,1.84,68.0,20.085066162570886,Normal Weight
29,1.63,58.0,21.829952199932254,Normal Weight
29,1.7,64.0,22.145328719723185,Normal Weight
29,1.68,63.0,22.321428571428577,Normal Weight
29,1.66,62.0,22.49963710262738,Normal Weight
29,1.847,90.9,26.645881511129275,Overweight
29,1.8530000000000002,89.7,26.124116053982846,Overweight
29,1.72,69.3,23.424824229313145,Normal Weight
29,1.66,45.7,16.584409928872116,Underweight
29,1.75,81.4,26.579591836734696,Overweight
29,1.76,113.8,36.738119834710744,Obese Class 2
28,1.78,74.71,23.579724782224464,Normal Weight
28,1.77,71.81,22.921255067190142,Normal Weight
28,1.79,77.61,24.222090446615276,Normal Weight
28,1.769,71.81,22.94717675589362,Normal Weight
28,1.7698,74.59,23.813993218627807,Normal Weight
28,1.75,75.0,24.489795918367346,Normal Weight
28,1.67,145.0,51.991824733766,Obese Class 3
28,1.72,165.0,55.77339102217415,Obese Class 3
28,2.02,250.0,61.26850308793256,Obese Class 3
28,1.82,66.0,19.925129815239703,Normal Weight
28,1.78,75.0,23.671253629592222,Normal Weight
28,1.76,69.0,22.275309917355372,Normal Weight
28,1.66,62.0,22.49963710262738,Normal Weight
28,1.67,63.0,22.589551436050055,Normal Weight
28,1.63,60.0,22.582709172343712,Normal Weight
28,1.8319999999999999,88.3,26.309328578783777,Overweight
28,1.838,87.2,25.8122267071295,Overweight
28,1.78,72.1,22.755965155914655,Normal Weight
28,1.68,46.2,16.369047619047624,Underweight
28,1.73,78.6,26.26215376390791,Overweight
28,1.82,126.8,38.28040091776355,Obese Class 2
27,1.77,74.7,23.843723068083882,Normal Weight
27,1.76,71.9,23.211518595041326,Normal Weight
27,1.78,77.5,24.460295417245298,Normal Weight
27,1.759,71.9,23.237917817923968,Normal Weight
27,1.7598,74.58,24.082177456625246,Normal Weight
27,1.69,140.0,49.017891530408605,Obese Class 3
27,1.77,160.0,51.07089278304446,Obese Class 3
27,2.0,240.0,60.0,Obese Class 3
27,1.8,64.0,19.753086419753085,Normal Weight
27,1.67,63.0,22.589551436050055,Normal Weight
27,1.75,68.0,22.20408163265306,Normal Weight
27,1.66,62.0,22.49963710262738,Normal Weight
27,1.62,59.0,22.481329065691202,Normal Weight
27,1.82,85.8,25.902668759811615,Overweight
27,1.825,84.6,25.40063801838994,Overweight
27,1.79,76.8,23.969289348022844,Normal Weight
27,1.69,47.5,16.63107034067435,Underweight
27,1.71,76.3,26.093498854348347,Overweight
27,1.84,131.0,38.693289224952736,Obese Class 2
26,1.76,74.69,24.11221590909091,Normal Weight
26,1.75,71.99,23.506938775510203,Normal Weight
26,1.77,77.39,24.702352452998817,Normal Weight
26,1.749,71.99,23.533826893158906,Normal Weight
26,1.7498,74.57,24.354954283689928,Normal Weight
26,1.64,135.0,50.19333729922666,Obese Class 3
26,1.79,155.0,48.37551886645236,Obese Class 3
26,1.97,230.0,59.26460357133654,Obese Class 3
26,1.78,62.0,19.568236333796236,Normal Weight
26,1.74,68.0,22.460034350640772,Normal Weight
26,1.69,63.0,22.058051188683873,Normal Weight
26,1.65,61.0,22.4058769513315,Normal Weight
26,1.6,58.0,22.656249999999996,Normal Weight
26,1.794,83.2,25.851065548608084,Overweight
26,1.7990000000000002,82.1,25.367684659595636,Overweight
26,1.74,71.9,23.74818337957458,Normal Weight
26,1.71,48.9,16.723094285421155,Underweight
26,1.76,80.2,25.891012396694215,Overweight
26,1.86,134.1,38.76170655567117,Obese Class 2
25,1.75,74.68,24.38530612244898,Normal Weight
25,1.74,72.08,23.807636411679216,Normal Weight
25,1.76,77.28,24.948347107438018,Normal Weight
25,1.739,72.08,23.835025119695935,Normal Weight
25,1.7398,74.56,24.63242937823691,Normal Weight
25,1.7,130.0,44.98269896193772,Obese Class 3
25,1.74,150.0,49.544193420531116,Obese Class 3
25,1.95,220.0,57.85667324128863,Obese Class 3
25,1.76,60.0,19.369834710743802,Normal Weight
25,1.72,68.0,22.985397512168742,Normal Weight
25,1.62,60.0,22.86236854138088,Normal Weight
25,1.6,58.0,22.656249999999996,Normal Weight
25,1.77,78.0,24.897060231734173,Normal Weight
25,1.77,77.0,24.577867151840145,Normal Weight
25,1.76,76.0,24.535123966942148,Normal Weight
25,1.76,75.0,24.212293388429753,Normal Weight
25,1.786,80.7,25.29942353680298,Overweight
25,1.781,79.5,25.0633598584598,Overweight
25,1.75,70.5,23.020408163265305,Normal Weight
25,1.73,49.7,16.605967456313277,Underweight
25,1.71,77.7,26.57227864984098,Overweight
25,1.75,100.2,32.71836734693878,Obese Class 1
24,1.77,71.82,22.92444699798908,Normal Weight
24,1.76,69.32,22.378615702479337,Normal Weight
24,1.78,74.32,23.456634263350583,Normal Weight
24,1.759,69.32,22.404067637531146,Normal Weight
24,1.781,74.32,23.430300687807954,Normal Weight
24,1.62,125.0,47.62993446121017,Obese Class 3
24,1.76,145.0,46.810433884297524,Obese Class 3
24,1.92,210.0,56.966145833333336,Obese Class 3
24,1.74,58.0,19.157088122605362,Normal Weight
24,1.75,70.0,22.857142857142858,Normal Weight
24,1.76,76.0,24.535123966942148,Normal Weight
24,1.76,75.0,24.212293388429753,Normal Weight
24,1.75,74.0,24.163265306122447,Normal Weight
24,1.75,73.0,23.836734693877553,Normal Weight
24,1.7719999999999998,78.1,24.872738205035443,Normal Weight
24,1.767,77.0,24.66139425274214,Normal Weight
24,1.76,68.0,21.952479338842977,Normal Weight
24,1.66,50.5,18.32631731746262,Underweight
24,1.72,74.8,25.283937263385617,Overweight
24,1.83,128.7,38.43052942757323,Obese Class 2
23,1.76,71.81,23.182463842975206,Normal Weight
23,1.75,69.41,22.664489795918367,Normal Weight
23,1.77,74.21,23.687318458935806,Normal Weight
23,1.749,69.41,22.69041428884789,Normal Weight
23,1.771,74.21,23.660575792753637,Normal Weight
23,1.68,120.0,42.51700680272109,Obese Class 3
23,1.71,140.0,47.877979549263024,Obese Class 3
23,1.9,200.0,55.4016620498615,Obese Class 3
23,1.72,56.0,18.92915089237426,Normal Weight
23,1.75,74.0,24.163265306122447,Normal Weight
23,1.75,73.0,23.836734693877553,Normal Weight
23,1.74,72.0,23.781212841854934,Normal Weight
23,1.74,71.0,23.450918219051392,Normal Weight
23,1.7530000000000001,75.6,24.601294691945252,Normal Weight
23,1.746,74.4,24.40531721007861,Normal Weight
23,1.68,52.1,18.459467120181408,Underweight
23,1.7,75.9,26.262975778546718,Overweight
22,1.75,71.8,23.444897959183674,Normal Weight
22,1.74,69.5,22.955476284846082,Normal Weight
22,1.76,74.1,23.921745867768593,Normal Weight
22,1.739,69.5,22.98188465342491,Normal Weight
22,1.761,74.1,23.894585216120237,Normal Weight
22,1.762,71.901,23.15917702641591,Normal Weight
22,1.738,71.699,23.736329074197425,Normal Weight
22,1.63,95.0,35.75595618954421,Obese Class 2
22,1.66,115.0,41.73319785164756,Obese Class 3
22,1.69,135.0,47.26725254717973,Obese Class 3
22,1.87,190.0,54.333838542709245,Obese Class 3
22,1.7,54.0,18.68512110726644,Normal Weight
22,1.74,72.0,23.781212841854934,Normal Weight
22,1.76,73.0,23.56663223140496,Normal Weight
22,1.74,71.0,23.450918219051392,Normal Weight
22,1.73,70.0,23.38868655818771,Normal Weight
22,1.72,69.0,23.323418063818284,Normal Weight
22,1.709,73.0,24.99417088001052,Normal Weight
22,1.702,71.9,24.82045730398053,Normal Weight
22,1.8,80.2,24.753086419753085,Normal Weight
22,1.7,54.8,18.961937716262977,Normal Weight
22,1.68,72.0,25.510204081632658,Overweight
22,1.79,120.3,37.54564464280141,Obese Class 2
21,1.74,71.79,23.71185097106619,Normal Weight
21,1.73,69.59,23.25169567977547,Normal Weight
21,1.75,73.99,24.159999999999997,Normal Weight
21,1.729,69.59,23.27859957764679,Normal Weight
21,1.751,73.99,24.132412220348268,Normal Weight
21,1.752,71.891,23.421047830528973,Normal Weight
21,1.728,71.689,24.008501050240053,Normal Weight
21,1.75,110.0,35.91836734693877,Obese Class 2
21,1.71,110.0,37.61841250299238,Obese Class 2
21,1.73,130.0,43.43613217949146,Obese Class 3
21,1.85,180.0,52.59313367421475,Obese Class 3
21,1.68,52.0,18.42403628117914,Underweight
21,1.73,70.0,23.38868655818771,Normal Weight
21,1.75,71.0,23.183673469387756,Normal Weight
21,1.73,69.0,23.054562464499313,Normal Weight
21,1.72,68.0,22.985397512168742,Normal Weight
21,1.71,67.0,22.91303307000445,Normal Weight
21,1.7209999999999999,70.5,23.802763213825457,Normal Weight
21,1.715,69.3,23.561611233414645,Normal Weight
21,1.75,57.3,18.710204081632654,Normal Weight
21,1.7,43.4,15.017301038062286,Underweight
21,1.55,37.6,15.650364203954213,Underweight
21,1.69,73.5,25.73439305346452,Overweight
20,1.73,71.78,23.983427444953055,Normal Weight
20,1.72,69.68,23.553272038939973,Normal Weight
20,1.74,73.88,24.40216673272559,Normal Weight
20,1.719,69.68,23.580683467565223,Normal Weight
20,1.741,73.88,24.374142426414863,Normal Weight
20,1.742,71.881,23.68742264127565,Normal Weight
20,1.718,71.679,24.285420006749057,Normal Weight
20,1.72,105.0,35.49215792320173,Obese Class 2
20,1.65,105.0,38.567493112947666,Obese Class 2
20,1.78,125.0,39.4520893826537,Obese Class 2
20,1.82,170.0,51.322304069556814,Obese Class 3
20,1.66,50.0,18.144868631151112,Underweight
20,1.72,68.0,22.985397512168742,Normal Weight
20,1.73,69.0,23.054562464499313,Normal Weight
20,1.72,67.0,22.647376960519203,Normal Weight
20,1.7,66.0,22.837370242214536,Normal Weight
20,1.69,65.0,22.758306781975424,Normal Weight
20,1.705,68.9,23.7012065599711,Normal Weight
20,1.6969999999999998,66.8,23.195982789136366,Normal Weight
20,1.61,44.6,17.206126306855445,Underweight
20,1.57,41.1,16.67410442614305,Underweight
20,1.56,39.4,16.190006574621957,Underweight
20,1.54,34.9,14.715803676842638,Underweight
20,1.51,31.7,13.902898995658084,Underweight
20,1.49,29.4,13.242646727624882,Underweight
20,1.47,27.6,12.772455921143969,Underweight
20,1.46,25.9,12.15049727903922,Underweight
20,1.68,72.9,25.829081632653068,Overweight
19,1.751,70.0,22.83104278178644,Normal Weight
19,1.741,68.0,22.434240457447356,Normal Weight
19,1.761,72.0,23.217410736311162,Normal Weight
19,1.74,68.0,22.460034350640772,Normal Weight
19,1.762,72.0,23.19106474043401,Normal Weight
19,1.763,70.101,22.553792924387317,Normal Weight
19,1.739,69.899,23.11382381855752,Normal Weight
19,1.68,98.0,34.72222222222223,Obese Class 1
19,1.69,98.0,34.31252407128602,Obese Class 1
19,1.75,120.0,39.183673469387756,Obese Class 2
19,1.8,160.0,49.382716049382715,Obese Class 3
19,1.64,48.0,17.846519928613922,Underweight
19,1.71,66.0,22.571047501795427,Normal Weight
19,1.72,67.0,22.647376960519203,Normal Weight
19,1.7,65.0,22.49134948096886,Normal Weight
19,1.69,64.0,22.40817898532965,Normal Weight
19,1.68,63.0,22.321428571428577,Normal Weight
19,1.673,65.4,23.36608038288931,Normal Weight
19,1.661,64.2,23.26996677324215,Normal Weight
19,1.58,41.5,16.623938471398812,Underweight
19,1.6,42.3,16.523437499999996,Underweight
19,1.59,41.2,16.296823701594082,Underweight
19,1.58,37.0,14.821342733536289,Underweight
19,1.53,33.6,14.353453799820583,Underweight
19,1.5,30.8,13.68888888888889,Underweight
19,1.48,28.7,13.10262965668371,Underweight
19,1.47,26.9,12.448516821694664,Underweight
19,1.69,74.4,26.049508070445718,Overweight
18,1.75,69.2,22.59591836734694,Normal Weight
18,1.74,67.3,22.22882811467829,Normal Weight
18,1.76,71.1,22.953254132231404,Normal Weight
18,1.739,67.3,22.254400534899226,Normal Weight
18,1.761,71.1,22.92719310210727,Normal Weight
18,1.762,69.301,22.32172191078913,Normal Weight
18,1.738,69.099,22.875585471177672,Normal Weight
18,1.59,69.32,27.419801431905377,Overweight
18,1.7,100.0,34.602076124567475,Obese Class 1
18,1.67,100.0,35.8564308508731,Obese Class 2
18,1.72,115.0,38.87236343969714,Obese Class 2
18,1.78,150.0,47.342507259184444,Obese Class 3
18,1.62,46.0,17.527815881725342,Underweight
18,1.7,64.0,22.145328719723185,Normal Weight
18,1.71,65.0,22.229061933586404,Normal Weight
18,1.69,63.0,22.058051188683873,Normal Weight
18,1.68,62.0,21.9671201814059,Normal Weight
18,1.67,61.0,21.872422819032593,Normal Weight
18,1.69,63.8,22.338153426000492,Normal Weight
18,1.6840000000000002,61.7,21.75709909106809,Normal Weight
18,1.62,43.9,16.727632982777013,Underweight
18,1.55,40.0,16.649323621227886,Underweight
18,1.61,41.7,16.087342309324484,Underweight
18,1.57,36.3,14.72676376323583,Underweight
18,1.52,32.9,14.239958448753463,Underweight
18,1.5,30.3,13.466666666666667,Underweight
18,1.48,28.3,12.920014609203799,Underweight
18,1.46,26.6,12.478889097391633,Underweight
18,1.7,72.9,25.224913494809694,Overweight
17,1.65,95.0,34.894398530762174,Obese Class 1
17,1.63,95.0,35.75595618954421,Obese Class 2
17,1.68,110.0,38.97392290249434,Obese Class 2
17,1.75,140.0,45.714285714285715,Obese Class 3
17,1.6,44.0,17.187499999999996,Underweight
17,1.69,61.0,21.35779559539232,Normal Weight
17,1.7,62.0,21.453287197231838,Normal Weight
17,1.68,60.0,21.258503401360546,Normal Weight
17,1.67,59.0,21.15529420201513,Normal Weight
17,1.65,58.0,21.30394857667585,Normal Weight
17,1.6380000000000001,60.3,22.474473023923572,Normal Weight
17,1.6280000000000001,59.1,22.29865559103888,Normal Weight
17,1.63,45.2,17.01230757649893,Underweight
17,1.62,44.0,16.76573693034598,Underweight
17,1.6,38.9,15.195312499999996,Underweight
17,1.54,34.1,14.37847866419295,Underweight
17,1.51,31.2,13.683610367966317,Underweight
17,1.49,29.0,13.062474663303455,Underweight
17,1.47,27.3,12.63362487852284,Underweight
16,1.6,90.0,35.15624999999999,Obese Class 2
16,1.58,90.0,36.05191475725044,Obese Class 2
16,1.7,105.0,36.33217993079585,Obese Class 2
16,1.72,130.0,43.942671714440245,Obese Class 3
16,1.58,42.0,16.82422688671687,Underweight
16,1.67,58.0,20.796729893506402,Normal Weight
16,1.68,59.0,20.904195011337873,Normal Weight
16,1.66,57.0,20.685150239512268,Normal Weight
16,1.65,56.0,20.569329660238754,Normal Weight
16,1.64,55.0,20.449137418203453,Normal Weight
16,1.652,58.7,21.50889083010395,Normal Weight
